"OldOwner","Path","Name","AddedFileAdmin"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\zip_10MB\file-example_PDF_1MB.pdf","file-example_PDF_1MB.pdf","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\zip_10MB\file-sample_1MB.doc","file-sample_1MB.doc","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\zip_10MB\file_example_JPG_1MB.jpg","file_example_JPG_1MB.jpg","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\zip_10MB\file_example_ODS_5000.ods","file_example_ODS_5000.ods","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\zip_10MB\file_example_PNG_2500kB.jpg","file_example_PNG_2500kB.jpg","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\zip_10MB\file_example_PPT_1MB.ppt","file_example_PPT_1MB.ppt","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\zip_10MB\file_example_TIFF_10MB.tiff","file_example_TIFF_10MB.tiff","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\zip_10MB","zip_10MB","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\command.cmd","command.cmd","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\file-sample_1MB.docx","file-sample_1MB.docx","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\file_example_CSV_5000.csv","file_example_CSV_5000.csv","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\Something2.exe","Something2.exe","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4\stuff.bat","stuff.bat","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\TestA1L4","TestA1L4","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\zip_10MB\file-example_PDF_1MB.pdf","file-example_PDF_1MB.pdf","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\zip_10MB\file-sample_1MB.doc","file-sample_1MB.doc","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\zip_10MB\file_example_JPG_1MB.jpg","file_example_JPG_1MB.jpg","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\zip_10MB\file_example_ODS_5000.ods","file_example_ODS_5000.ods","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\zip_10MB\file_example_PNG_2500kB.jpg","file_example_PNG_2500kB.jpg","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\zip_10MB\file_example_PPT_1MB.ppt","file_example_PPT_1MB.ppt","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\zip_10MB\file_example_TIFF_10MB.tiff","file_example_TIFF_10MB.tiff","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\zip_10MB","zip_10MB","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\command.cmd","command.cmd","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\file-sample_1MB.docx","file-sample_1MB.docx","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\file_example_CSV_5000.csv","file_example_CSV_5000.csv","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\Something2.exe","Something2.exe","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3\stuff.bat","stuff.bat","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA1L3","TestA1L3","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA2L3\command.cmd","command.cmd","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\TestA2L3\file-sample_1MB.docx","file-sample_1MB.docx","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\command.cmd","command.cmd","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\file-sample_1MB.docx","file-sample_1MB.docx","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA2L2\stuff.bat","stuff.bat","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestA1L1\TestA3L2","TestA3L2","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\TestB1L2\TestB1L3","TestB1L3","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\TestB1L2\zip_10MB\file-example_PDF_1MB.pdf","file-example_PDF_1MB.pdf","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\TestB1L2\zip_10MB\file-sample_1MB.doc","file-sample_1MB.doc","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\TestB1L2\zip_10MB\file_example_JPG_1MB.jpg","file_example_JPG_1MB.jpg","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\TestB1L2\zip_10MB\file_example_ODS_5000.ods","file_example_ODS_5000.ods","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\TestB1L2\zip_10MB\file_example_PNG_2500kB.jpg","file_example_PNG_2500kB.jpg","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\TestB1L2\zip_10MB\file_example_PPT_1MB.ppt","file_example_PPT_1MB.ppt","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\TestB1L2\zip_10MB\file_example_TIFF_10MB.tiff","file_example_TIFF_10MB.tiff","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\TestB1L2\zip_10MB","zip_10MB","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\command.cmd","command.cmd","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestB1L1\stuff.bat","stuff.bat","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\TestC1L1","TestC1L1","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\file_example_CSV_5000.csv","file_example_CSV_5000.csv","WIN-C2E7G26R3N1\Administrator"
"WIN-C2E7G26R3N1\StandardUser","E:\Dory\zip_10MB copy.zip","zip_10MB copy.zip","WIN-C2E7G26R3N1\Administrator"
